CLASS;sub-class 1;sub-class 2;sub-class 3;sub-class 4;sub-class 5;Synonym;Modification proposée;NB DE RELATIONS POSITIVE (Facteurs de risque);NB DE RELATIONS NEGATIVES (Facteurs protecteurs)
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Sport friendship quality;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Supportive friendships;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Teammate relatedness;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Teammate social support;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;;;;;;1;1
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;Perception of social support;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;Perception of social support;Perception of social support from athletic department;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;Perception of social support;Perception of social support from family;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;Perception of social support;Perception of social support from teammates;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;General pressures;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Peer pressure;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;General pressures;Perfectionism other-oriented;;;Other oriented perfectionism;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;General pressures;Perfectionism socially prescribed;;;"Socially prescribed perfectionism ; social oriented perfectionism";;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from boy/girlfriend;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from coaches;;;"Coach-related pressures ; coach pressure";;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from friends;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from judges;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from parents;;;Parental expectations and parental criticism;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from parents to be perfect;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from teammates;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from TV/movies;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Romantic pressure;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Appearance pressure from teammates;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived appearance based pressures from family;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived coach pressure;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived parental pressure;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from family;;;Pressure from family;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from media;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from peer;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived weight related coach pressure;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Social pressure on body shape;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Social pressure on eating;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Appearance comparison;;;Teammate body comparison;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure for thinness coaches;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin by friends;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin by parents;;;;;;
